name_road;name_ward;type_ward;name_district;type_district;name_province;type_province;;;;
hẻm 554/1 đường nguyễn ðình chiểu;Phường 4;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
đường số 1- mh4;Xuân Thới Đông;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
183/31/...;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
1841-nvq;Đông Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
189c;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
189d;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
196 nguyễn thượng hiền;Phường 5;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
1m;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
2 làng báo chí;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
205/39 tran van dang;Phường 11;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
266/40;Phường 8;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
27a khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
28/....;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
3-iii;Vĩnh Lộc B;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
31a khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
31b khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
31c khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
31d khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
31e khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
31f khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
