2023-02-14 10:32:31,994 | CrawlAddress | [INFO] | START SERVICE UPDATE ADDRESS
2023-02-14 10:32:31,997 | CrawlAddress | [INFO] | START DOWNLOAD ADDRESS FROM GOVERNMENT
2023-02-14 10:33:40,994 | CrawlAddress | [INFO] | FINISH DOWNLOAD ADDRESS FROM GOVERNMENT
2023-02-14 10:33:41,075 | CrawlAddress | [INFO] | START CRAWLER PROVINCE
2023-02-14 10:33:55,576 | CrawlAddress | [INFO] | DONE PROVINCE
2023-02-14 10:33:55,577 | CrawlAddress | [INFO] | START CRAWLER DISTRICT
2023-02-14 10:33:55,577 | CrawlAddress | [INFO] | NUMBER OF PROVINCE 63
2023-02-14 10:35:18,312 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/64ff634d-87ed-49c4-8084-fe66d45d1682/window
2023-02-14 10:35:18,313 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/b2db26f1-63e9-4e26-89ea-563e539fb229/window
2023-02-14 10:35:18,313 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/bd2a41bc-2397-41b9-9c5a-dc96e870624f/window
2023-02-14 10:35:18,315 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/29f6fd3e-e0fb-4c9d-a956-fc7931f7a531/window
2023-02-14 10:35:18,315 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/9168e5dc-78a0-4eae-8bb3-f984484286f3/window
2023-02-14 10:35:18,316 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/df53b2db-a3b9-4782-977e-1a041af2720a/window
2023-02-14 10:35:18,318 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/32419771-55fb-468a-a09d-35d67a44d722/window
